시가총액	상장주식수	액면가	매매단위	외국인한도주식수	외국인보유주식수	외국인소진율	투자의견	목표주가	PER_202009	EPS_202009	추정PER	추정EPS	PBR_202009	BPS_202009	배당수익률	동일업종PER	동일업종등락률
"6조 4,532"	645316408	5000	1	645316408	95905671	14.86	3.71	11650	10.45	957	9.97	1003	0.69	14496	NA	6.3	2.81
945	20100000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"6,868"	177016189	5000	1	177016189	10251539	5.79	3.86	4900	6.33	613	NA	NA	0.25	15680	NA	13.15	1.53
"6,436"	4970000	500	1	4970000	233257	4.69	NA	NA	15.34	8441	NA	NA	2.54	50935	NA	63.27	3.47
"5,534"	5100000	500	1	5100000	86600	1.7	NA	NA	15.93	6812	NA	NA	2.1	51619	NA	63.27	3.47
"1,786"	2320000	500	1	2320000	27648	1.19	NA	NA	10.05	7664	NA	NA	1.1	69719	NA	63.27	3.47
"1,375"	2199268	1000	1	2199268	116377	5.29	NA	NA	9.07	6890	NA	NA	1.14	54720	NA	63.27	3.47
"1,108"	1739672	5000	1	1739672	546836	31.43	NA	NA	5.73	11126	NA	NA	0.36	177675	NA	-12.33	4.48
344	15200004	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
867	42314090	500	1	42314090	413468	0.98	NA	NA	17.37	118	NA	NA	0.41	4943	1.71	20.42	2.17
"1,891"	44918407	500	1	44918407	2255963	5.02	NA	NA	19.49	216	NA	NA	1.06	3970	NA	63.27	3.47
"1,377"	24200000	500	1	24200000	523805	2.16	NA	NA	NA	-697	NA	NA	1.02	5557	NA	30.14	2.17
"1,311"	24831982	1000	1	24831982	178340	0.72	NA	NA	8.29	637	NA	NA	1.75	3010	NA	7.42	4.06
326	137680211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"1,800"	68560000	500	1	68560000	2870977	4.19	NA	NA	NA	-3	NA	NA	0.64	4073	NA	34.12	4.45
"1,357"	59900000	200	1	59900000	179619	0.3	NA	NA	251.67	9	NA	NA	3.1	731	NA	27.45	1.17
1조 191	47620000	500	1	47620000	3380945	7.1	4	22018	38.35	558	36.77	582	3.13	6838	NA	99.27	0.31
"1,212"	127449373	500	1	127449373	1302189	1.02	NA	NA	NA	-121	NA	NA	1.49	640	NA	98	0.9
"1조 5,594"	64837978	500	1	64837978	3154297	4.86	NA	NA	12025	2	NA	NA	5.98	4022	0.38	99.27	0.31
"2,193"	10369886	5000	1	10369886	89727	0.87	NA	NA	5.65	3741	NA	NA	0.35	59797	NA	6.3	2.81
815	20000000	500	1	20000000	162651	0.81	NA	NA	140.52	29	NA	NA	0.73	5573	NA	41.1	2.67
"5,984"	11000000	5000	1	11000000	365230	3.32	NA	NA	3.16	17229	NA	NA	0.67	81100	NA	19.16	1.29
"1,325"	1056000	5000	1	1056000	9700	0.92	NA	NA	48.31	2598	NA	NA	2.3	54683	NA	34.12	4.45
